ProteinA	ProteinB	Methods	References
ASC	POP2	GST fusion protein pull-down;Yeast two-hybrid;Co-Immunofluorescence staining;Co-immunoprecipitation;ELISA;Immunofluorescence staining	17178784;17339483
ASC	Pyrin	His fusion protein pull-down;Co-Immunofluorescence staining;Co-immunoprecipitation;GST fusion protein pull-down;DAPI staining;Apoptotic DNA ladder assay;β-galactosidase staining, Luciferase assay;Caspase cleaved assay	16037825;11498534;12667444;12615073
ASC	IFI16	Co-Immunofluorescence staining;Co-immunoprecipitation	21575908
ASC	NLRP1	Co-immunoprecipitation;Size-exclusion chromatography	17418785;19401709;19066616
ASC	NLRP10	Co-Immunofluorescence staining;Co-immunoprecipitation;Propidium iodide-Annexin V staining, Luciferase assay, Immunostaining;Annexin V staining, EMSA	20393137;15096476
ASC	NLRP12	Co-Immunofluorescence staining;Luciferase assay, ELISA	12019269
ASC	NLRP7	Co-immunoprecipitation	22361007
NLRP1	POP2	Yeast two-hybrid	17178784
NLRP1	ASC	Co-immunoprecipitation;Size-exclusion chromatography	17418785;19401709;19066616
NLRP1	NLRP2	Co-immunoprecipitation	15456791
NLRP2	ASC	Co-immunoprecipitation;ELISA	15030775;15456791
NLRP2	POP2	GST fusion protein pull-down;Yeast two-hybrid;Co-Immunofluorescence staining;Co-immunoprecipitation;ELISA	17178784
NLRP2	NLRP1	Co-immunoprecipitation	15456791
NLRP3	ASC	Co-immunoprecipitation;GST fusion protein pull-down;Two-hybrid;Yeast two-hybrid;Co-Immunofluorescence staining;Fluorescence resonance energy transfer;Luciferase assay;Caspase cleaved assay	15030775;23066025;11786556;19337385;16037825;12615073;19158675;21575908;21994322;22361007
POP1	ASC	GST fusion protein pull-down;In vitro purification protein assembly(Surface plasmon resonance);Co-Immunofluorescence staining;Co-immunoprecipitation;Surface plasmon resonance;Luciferase assay	12656673;23066025;18362139;17178784
POP2	ASC	GST fusion protein pull-down;Yeast two-hybrid;Co-Immunofluorescence staining;Co-immunoprecipitation;ELISA;Immunofluorescence staining	17178784;17339483
POP2	NLRP1	Yeast two-hybrid	17178784
POP2	NLRP2	GST fusion protein pull-down;Yeast two-hybrid;Co-Immunofluorescence staining;Co-immunoprecipitation;ELISA	17178784
Pyrin	ASC	His fusion protein pull-down;Co-Immunofluorescence staining;Co-immunoprecipitation;GST fusion protein pull-down;DAPI staining;Apoptotic DNA ladder assay;β-galactosidase staining, Luciferase assay;Caspase cleaved assay	16037825;11498534;12667444;12615073
IFI16	ASC	Co-Immunofluorescence staining;Co-immunoprecipitation	21575908
NLRP10	ASC	Co-Immunofluorescence staining;Co-immunoprecipitation;Propidium iodide-Annexin V staining, Luciferase assay, Immunostaining;Annexin V staining, EMSA	20393137;15096476
NLRP12	ASC	Co-Immunofluorescence staining;Luciferase assay, ELISA	12019269
NLRP7	ASC	Co-immunoprecipitation	22361007
