entrez_gene_ida	entrez_gene_idb	gene_symbol_a	gene_symbol_b	screens_found
599	90427	BCL2L2	BMF	2
599	147872	BCL2L2	CCDC155	2
604	604	BCL6	BCL6	1
604	3801	BCL6	KIFC3	2
604	6477	BCL6	SIAH1	1
604	7185	BCL6	TRAF1	1
604	8548	BCL6	BLZF1	1
604	51043	BCL6	ZBTB7B	1
604	51076	BCL6	CUTC	2
604	96626	BCL6	LIMS3	1
604	255877	BCL6	BCL6B	1
631	23636	BFSP1	NUP62	1
635	635	BHMT	BHMT	1
637	5966	BID	REL	1
637	10768	BID	AHCYL1	2
638	89885	BIK	FATE1	2
640	6774	BLK	STAT3	1
640	10278	BLK	EFS	1
640	80125	BLK	CCDC33	1
642	642	BLMH	BLMH	1
642	55093	BLMH	WDYHV1	1
642	83594	BLMH	NUDT12	1
644	84708	BLVRA	LNX1	1
648	1912	BMI1	PHC2	1
648	6015	BMI1	RING1	1
648	81565	BMI1	NDEL1	1
655	3846	BMP7	KRTAP5-9	1
655	5987	BMP7	TRIM27	1
655	23281	BMP7	MTUS2	1
655	386675	BMP7	KRTAP10-7	1
655	386680	BMP7	KRTAP10-5	1
655	386681	BMP7	KRTAP10-8	2
655	386682	BMP7	KRTAP10-3	1
655	388677	BMP7	NOTCH2NL	1
660	6774	BMX	STAT3	1
663	2444	BNIP2	FRK	1
663	3831	BNIP2	KLC1	1
663	4645	BNIP2	MYO5B	2
663	7348	BNIP2	UPK1B	1
663	89885	BNIP2	FATE1	1
664	664	BNIP3	BNIP3	1
664	665	BNIP3	BNIP3L	1
664	3895	BNIP3	KTN1	2
664	8834	BNIP3	TMEM11	2
664	64581	BNIP3	CLEC7A	1
664	89885	BNIP3	FATE1	1
664	388633	BNIP3	LDLRAD1	1
665	665	BNIP3L	BNIP3L	1
665	8834	BNIP3L	TMEM11	2
665	56935	BNIP3L	SMCO4	2
665	64581	BNIP3L	CLEC7A	2
665	89885	BNIP3L	FATE1	1
665	388633	BNIP3L	LDLRAD1	1
685	3881	BTC	KRT31	1
685	29926	BTC	GMPPA	1
689	167838	BTF3	TXLNB	1
689	200081	BTF3	TXLNA	2
694	9337	BTG1	CNOT8	1
699	9184	BUB1	BUB3	1
705	1912	BYSL	PHC2	2
705	2010	BYSL	EMD	1
705	2059	BYSL	EPS8	1
705	2801	BYSL	GOLGA2	1
705	3881	BYSL	KRT31	1
705	4281	BYSL	MID1	1
705	4591	BYSL	TRIM37	2
705	5987	BYSL	TRIM27	1
705	6607	BYSL	SMN2	1
705	7205	BYSL	TRIP6	2
705	7328	BYSL	UBE2H	1
705	7541	BYSL	ZBTB14	2
705	7965	BYSL	AIMP2	1
705	8161	BYSL	COIL	1
705	8676	BYSL	STX11	1
705	8697	BYSL	CDC23	2
705	9240	BYSL	PNMA1	2
705	9513	BYSL	FXR2	2
705	9618	BYSL	TRAF4	2
705	9659	BYSL	PDE4DIP	1
705	10318	BYSL	TNIP1	2
705	10320	BYSL	IKZF1	1
705	10521	BYSL	DDX17	1
705	10687	BYSL	PNMA2	1
705	11043	BYSL	MID2	1
705	23281	BYSL	MTUS2	1
705	54550	BYSL	NECAB2	1
705	55145	BYSL	THAP1	1
705	55536	BYSL	CDCA7L	2
705	55734	BYSL	ZFP64	1
705	57159	BYSL	TRIM54	2
705	64395	BYSL	GMCL1	1
705	64753	BYSL	CCDC136	2
705	79618	BYSL	HMBOX1	2
705	79720	BYSL	VPS37B	1
705	79839	BYSL	CCDC102B	2
705	80125	BYSL	CCDC33	1
705	80321	BYSL	CEP70	1
705	80817	BYSL	CEP44	1
705	81704	BYSL	DOCK8	1
705	83659	BYSL	TEKT1	1
705	84445	BYSL	LZTS2	2
705	84456	BYSL	L3MBTL3	1
705	84946	BYSL	LTV1	1
705	84970	BYSL	C1orf94	1
705	85291	BYSL	KRTAP4-2	2
705	91694	BYSL	LONRF1	2
705	114932	BYSL	MRFAP1L1	2
705	117178	BYSL	SSX2IP	2
705	125115	BYSL	KRT40	2
705	138046	BYSL	RALYL	2
705	145282	BYSL	MIPOL1	1
705	167826	BYSL	OLIG3	1
705	171483	BYSL	FAM9B	2
705	222389	BYSL	BEND7	1
705	285753	BYSL	CEP57L1	1
705	386675	BYSL	KRTAP10-7	2
705	386680	BYSL	KRTAP10-5	2
705	386682	BYSL	KRTAP10-3	2
705	653121	BYSL	ZBTB8A	2
706	90993	TSPO	CREB3L1	2
727	90993	C5	CREB3L1	1
744	6258	MPPED2	RXRG	2
744	9319	MPPED2	TRIP13	2
744	55697	MPPED2	VAC14	1
744	285782	MPPED2	CAGE1	2
744	729533	MPPED2	FAM72A	2
752	10363	FMNL1	HMG20A	1
754	64581	PTTG1IP	CLEC7A	1
754	388633	PTTG1IP	LDLRAD1	2
755	64395	C21orf2	GMCL1	1
759	7024	CA1	TFCP2	2
765	3881	CA6	KRT31	1
765	125115	CA6	KRT40	1
765	388677	CA6	NOTCH2NL	2
767	1406	CA8	CRX	1
767	6926	CA8	TBX3	1
767	9500	CA8	MAGED1	2
767	23062	CA8	GGA2	1
767	51171	CA8	HSD17B14	1
767	54908	CA8	SPDL1	1
767	84708	CA8	LNX1	1
779	79849	CACNA1S	PDZD3	1
786	9218	CACNG1	VAPA	1
801	80726	CALM1	KIAA1683	1
801	160140	CALM1	C11orf65	2
805	23125	CALM2	CAMTA2	1
805	23288	CALM2	IQCE	2
805	80726	CALM2	KIAA1683	2
805	81792	CALM2	ADAMTS12	1
805	128239	CALM2	IQGAP3	1
805	160140	CALM2	C11orf65	2
808	10513	CALM3	APPBP2	1
808	23125	CALM3	CAMTA2	1
808	23288	CALM3	IQCE	1
808	57159	CALM3	TRIM54	1
808	64581	CALM3	CLEC7A	1
808	80726	CALM3	KIAA1683	1
808	160140	CALM3	C11orf65	2
810	80726	CALML3	KIAA1683	1
810	160140	CALML3	C11orf65	1
813	29979	CALU	UBQLN1	1
816	816	CAMK2B	CAMK2B	1
816	5257	CAMK2B	PHKB	1
816	5912	CAMK2B	RAP2B	1
816	6135	CAMK2B	RPL11	1
816	10459	CAMK2B	MAD2L2	1
816	10933	CAMK2B	MORF4L1	1
816	11030	CAMK2B	RBPMS	1
816	11332	CAMK2B	ACOT7	1
816	23543	CAMK2B	RBFOX2	1
816	51367	CAMK2B	POP5	1
816	54797	CAMK2B	MED18	2
816	57213	CAMK2B	SPRYD7	1
816	57715	CAMK2B	SEMA4G	1
816	65003	CAMK2B	MRPL11	2
816	91056	CAMK2B	AP5B1	1
816	91875	CAMK2B	TTC5	1
816	140706	CAMK2B	CCM2L	2
816	146664	CAMK2B	MGAT5B	1
816	284069	CAMK2B	FAM171A2	1
816	337972	CAMK2B	KRTAP19-5	1
816	337974	CAMK2B	KRTAP19-7	2
816	386678	CAMK2B	KRTAP10-11	1
817	817	CAMK2D	CAMK2D	1
817	2281	CAMK2D	FKBP1B	1
817	9513	CAMK2D	FXR2	1
817	10126	CAMK2D	DNAL4	1
817	30000	CAMK2D	TNPO2	1
817	54971	CAMK2D	BANP	1
817	64112	CAMK2D	MOAP1	1
817	64778	CAMK2D	FNDC3B	1
817	65003	CAMK2D	MRPL11	1
817	91875	CAMK2D	TTC5	1
817	284656	CAMK2D	EPHA10	1
819	3737	CAMLG	KCNA2	1
822	6477	CAPG	SIAH1	1
825	29948	CAPN3	OSGIN1	2
825	55093	CAPN3	WDYHV1	1
826	57085	CAPNS1	AGTRAP	1
834	55697	CASP1	VAC14	2
835	835	CASP2	CASP2	1
835	8738	CASP2	CRADD	1
839	839	CASP6	CASP6	1
840	6303	CASP7	SAT1	1
842	79444	CASP9	BIRC7	2
842	112401	CASP9	BIRC8	2
862	2059	RUNX1T1	EPS8	1
